ticker
NVDA
AAPL
GOOGL
GOOG
MSFT
AMZN
TSM
AVGO
META
SPCX
TSLA
LLY
BRK/B
BRK/A
MU
JPM
WMT
AMD
V
ASML
XOM
JNJ
GOOGM
GOOGN
MA
INTC
ABBV
CSCO
BAC
AMAT
COST
CAT
LRCX
UNH
CVX
ORCL
GE
KO
PG
HSBC
MS
HD
PLTR
MRK
GS
PM
RY
NVS
PANW
NFLX
ARM
GEV
TM
KLAC
BABA
WFC
AZN
RTX
TXN
DELL
MUFG
SHEL
AXP
LIN
CCZ
NVO
C
ANET
TMUS
CRWD
BHP
TD
SNDK
IBM
SAN
TMO
AMGN
SAP
MCD
PEP
APH
NEE
ADI
VZ
QCOM
UNP
TTE
SCHW
STX
ABT
WELL
TJX
DIS
BA
GILD
BLK
MRVL
WDC
UBS
DE
SHOP
SMFG
BUD
ETN
IBKR
T
UBER
TBB
DHR
SCCO
BBVA
PFE
APP
PLD
BKNG
CRM
COP
CVS
CB
UL
BTI
HDB
SPGI
GLW
BMO
COF
SONY
BMY
MO
ENB
VRTX
MFG
SYK
ISRG
PGR
SBUX
PH
PDD
FTNT
LMT
LOW
PBR
RIO
VRT
CM
BNS
BP
HWM
SNY
BNY
SO
BN
MDT
NOW
IBN
GSK
TT
ADP
PNC
MCK
EQIX
UPS
GD
SPOT
NET
USB
DUK
BCS
MAR
WM
ACN
NEM
MNST
PWR
ADBE
CSX
BX
ING
EQNR
SNOW
DDOG
MELI
VLO
CNQ
MPC
CEG
CDNS
KKR
ITUB
HOOD
WMB
CMI
MCO
CME
LYG
RACE
ABNB
MRSH
JCI
ASX
CMCSA
FCX
NTES
CP
MMM
NGG
PSX
EPD
HCA
CTAS
SHW
ELV
DASH
INTU
ITW
AMT
BAM
AMX
ICE
TRV
AON
CNI
E
MDLZ
EMR
RCL
ECL
NSC
ROST
FDX
EOG
CI
CL
SPG
NOC
CVNA
NWG
SU
SNPS
HLT
TRP
MFC
AEP
KMI
ORLY
HON
REGN
SLB
ET
AEM
APO
CRH
MSI
GM
RSG
TDG
WBD
NXPI
BRKRP
HONA
PCAR
DB
NU
GWW
APD
DLR
URI
BSX
TFC
AJG
NKE
MPWR
ALL
SE
AFL
TGT
D
RELX
O
BE
TRGP
HPE
VALE
MET
SRE
COR
TEL
IMO
OKE
FIX
B
CTVA
NOK
MPLX
CARR
LITE
F
SOMN
PSA
BKR
DAL
STM
LNG
FANG
OXY
AME
COHR
KEYS
NUE
CAH
UMC
ARGX
CIEN
FITB
LHX
VST
CVE
EA
MDLN
FAST
ALAB
ETR
NDAQ
BMNP
ROK
HBANL
MT
DVN
STT
TER
PYPL
EBAY
AZO
EW
XEL
ODFL
GRMN
HUM
HEI
ABEV
CCEP
XYZ
AMP
EXC
WPM
DEO
VTR
INFY
PCG
ADSK
MSCI
FER
BTSGU
SLF
FERG
NBIS
HLN
IDXX
WAB
CMG
MCHP
FMX
TTWO
WCN
FLEX
BDX
VIK
IX
KB
AIG
LYV
DHI
KDP
HBANM
TRI
ARES
ED
ADM
COIN
PRU
WDS
CBRE
RKT
AXON
PAYX
YUM
JD
HBANZ
CRWV
RVMD
PEG
BSBR
RKLB
SYY
NTRA
FNV
AU
CBRS
HIG
CRDO
MCHPP
UAL
BBD
VMC
VOD
TEVA
CCJ
A
RBLX
HBAN
WEC
BAP
IRM
ROP
HMC
MTB
BIDU
PPLC
KVUE
WAT
CCL
PUK
KR
KMB
WDAY
ALNY
ACGL
TKO
ALC
RDDT
HSY
ONC
CLS
CCI
ESLT
IQV
VG
ON
QSR
NTRS
STLD
MLM
SHG
STRF
RPRX
MSTR
HBANP
ERIC
EC
EME
UI
RYAAY
CHT
RJF
CNC
BBDO
NTR
EXPE
IR
NTAP
ZTS
GFS
VEEV
CASY
JBL
TWLO
EXR
EQT
AEE
DTE
KHC
TS
CFG
CBOE
BIIB
CQP
SUNB
LVS
FTS
STRC
EIX
CPNG
PBA
EL
ATO
DXCM
TDY
AGNCN
HAL
XYL
AGNCO
FICO
AGNCZ
RMD
DOV
FTI
AGNCP
VICI
GEHC
TPL
GFI
AGNCM
TPR
Q
AGNCL
ILMN
CNP
OTIS
FE
ES
CINF
DG
AXIA
WTW
CRS
AMRZ
JBHT
SKHY
NMR
NRG
RF
FISV
PPL
KGC
TECK
WSM
AVB
TCOM
ZM
ECHO
WRB
PHG
MTD
TSEM
AWK
AER
VRSK
SMCIP
PPG
CW
MTZ
LPLA
OKTA
EQR
HUBB
FWONK
CPRT
KEY
AFRM
ATI
WST
VRSN
XPO
TROW
MDB
NVT
SYM
ROIV
SYF
MKL
PFG
FCNCA
CHRW
MRNA
ZS
FOXA
DLTR
PHM
IHG
CPAY
EXPD
ONON
TEAM
TW
L
FWONA
RIVN
BRO
LUV
INSM
BNJ
INCY
WWD
BNH
DGX
OMC
CHD
LH
SW
BG
FFIV
P
VLTO
BNTX
FSLR
CMS
DRI
UTHR
HPQ
STZ
RL
ASTS
SOJC
IOT
VIV
SOFI
NI
MKSI
SN
BSP
BURL
ROL
FOX
FIS
STRK
BEP
DOW
USFD
ROKU
SNA
GPN
FTAI
STE
CTSH
ENTG
SOJD
EFX
EXE
STRD
INIO
PKG
RBA
GH
ULTA
MTSI
BCE
TSN
AS
AMCR
BCH
SBS
GIS
RS
LEN
VTRS
IFF
SQM
IP
EVRG
SBAC
